seed_length,seed_width,groove_width,class
6.107,3.769,5.794,1
6.303,3.791,5.965,1
6.183,3.902,5.924,1
6.259,3.737,6.053,1
6.563,3.991,6.316,1
6.416,3.719,6.163,1
6.051,3.897,5.75,1
6.245,3.815,6.185,1
6.227,3.769,5.966,1
6.493,3.857,6.32,1
6.315,3.962,6.188,1
6.059,3.563,6.011,1
5.762,3.387,5.703,1
5.98,3.771,5.905,1
5.363,3.582,5.144,1
6.111,3.869,5.992,1
6.285,3.594,6.102,1
5.979,3.687,5.919,1
6.513,3.773,6.185,1
5.791,3.69,5.661,1
5.979,3.755,5.962,1
6.144,3.825,5.949,1
5.884,3.268,5.795,1
5.845,3.395,5.795,1
5.776,3.408,5.847,1
5.477,3.465,5.439,1
6.145,3.574,5.971,1
5.92,3.231,5.879,1
5.832,3.286,5.752,1
5.872,3.472,5.922,1
5.472,2.994,5.395,2
5.541,3.073,5.44,2
5.389,3.074,5.307,2
5.224,2.967,5.221,2
5.314,2.777,5.178,2
5.279,2.687,5.275,2
5.176,2.719,5.132,2
5.267,2.967,5.002,2
5.386,2.911,5.316,2
5.317,2.648,5.194,2
5.263,2.84,5.307,2
5.405,2.776,5.27,2
5.408,2.833,5.36,2
5.22,2.693,5.001,2
5.175,2.755,5.263,2
5.25,2.675,5.219,2
5.053,2.849,5.003,2
5.394,2.745,5.22,2
5.444,2.678,5.31,2
5.304,2.695,5.31,2
5.451,2.879,5.491,2
5.35,2.81,5.308,2
5.267,2.847,5.046,2
5.333,2.968,5.176,2
5.011,2.794,5.049,2
5.105,2.941,5.056,2
5.319,2.897,5.27,2
5.417,2.837,5.338,2
5.176,2.668,5.132,2
5.09,2.715,5.088,2
5.325,2.701,5.163,2
5.167,2.845,4.956,2
5.088,2.763,5,2
5.136,2.763,5.089,2
5.278,2.641,5.185,2
4.981,2.821,5.063,2
5.186,2.71,5.092,2
5.145,2.642,4.963,2
5.18,2.758,5.002,2
5.357,2.893,5.178,2
5.09,2.775,4.825,2
5.236,3.017,5.147,2
5.24,2.909,5.158,2
5.108,2.85,5.135,2
5.495,3.026,5.316,2
5.363,2.683,5.182,2
5.413,2.716,5.352,2
5.088,2.675,4.956,2
5.089,2.821,4.957,2
4.899,2.787,4.794,2
5.046,2.717,5.045,2
5.091,2.804,5.001,2
5.132,2.953,5.132,2
5.18,2.63,5.089,2
5.236,2.975,5.012,2
5.16,3.126,4.914,2
5.224,3.054,4.958,2
5.32,3.128,5.091,2
5.41,2.911,5.231,2
5.073,3.155,4.83,2
5.219,2.989,5.045,2
4.984,3.135,4.745,2
5.009,2.81,4.828,2
5.183,3.091,5,2
5.204,2.96,5.001,2
5.137,2.981,4.87,2
5.14,2.795,5.003,2
5.236,3.232,5.056,2
5.175,2.836,5.044,2
5.243,2.974,5.063,2
